GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
project,tqs.project.exception,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
project,tqs.project.exception,GlobalExceptionHandler,66,54,0,2,12,10,2,3,2,2
project,tqs.project,NikEvApplication,5,3,0,0,2,1,1,1,1,1
project,tqs.project.controller,ChargerStationController,9,3,0,0,2,1,2,1,2,1
project,tqs.project.controller,CarController,14,3,0,0,3,1,3,1,3,1
project,tqs.project.controller,BookChargeController,9,3,0,0,2,1,2,1,2,1
project,tqs.project.controller,UserController,4,14,0,0,1,3,1,3,1,3
project,tqs.project.controller,StaffController,14,3,0,0,3,1,3,1,3,1
project,tqs.project.dto,BookChargeDTO,66,0,0,0,16,0,14,0,14,0
project,tqs.project.dto,CarDTO,4,42,0,0,1,14,1,9,1,9
project,tqs.project.dto,ChargerStationDTO,36,0,0,0,10,0,8,0,8,0
project,tqs.project.dto,StaffDTO,36,0,0,0,12,0,8,0,8,0
project,tqs.project.dto,UserDTO,15,31,0,0,6,9,1,9,1,9
project,tqs.project.service,BookChargeService,86,3,0,0,15,1,5,1,5,1
project,tqs.project.service,UserService,12,71,1,3,2,17,3,3,2,2
project,tqs.project.service,CarService,0,52,1,1,0,10,1,4,0,4
project,tqs.project.service,StaffService,34,3,0,0,7,1,3,1,3,1
project,tqs.project.service,ChargerStationService,42,3,0,0,8,1,3,1,3,1
project,tqs.project.model,BookCharge,73,3,0,0,9,1,15,1,15,1
project,tqs.project.model,Staff,23,3,0,0,4,1,5,1,5,1
project,tqs.project.model,Person,12,24,0,0,1,5,1,7,1,7
project,tqs.project.model,ChargerStation,43,3,0,0,6,1,9,1,9,1
project,tqs.project.model,User,9,17,0,0,1,4,1,5,1,5
project,tqs.project.model,Car,18,38,0,0,1,7,1,11,1,11
